,RETURN,MDD,MEAN,VOL,exMDD,exMEAN,exVOL,SHARPE,TURNOVER
S146,0.9874613601921323,-0.12042271602353305,-0.02856122385247877,0.09359433785325127,-0.16052350350540712,-0.07267315578308355,0.09398875176656891,-0.7815014089549712,28.235227220660796
S154,1.063136577598918,-0.03934651261500488,0.042461064588129135,0.05065328817157807,-0.06462315510209682,-0.001981242649365722,0.050009664028798584,-0.04188905673267112,19.270405878675476
S171,0.946649004111144,-0.15144488522024635,-0.03793199696535948,0.11807276617013972,-0.17256937380528958,-0.08218417006264411,0.11663663607524852,-0.6988476910628353,25.96128750702265
S184,1.0288981876957937,-0.060036055154526036,0.021521747673850657,0.07135191571238583,-0.08739691578635578,-0.022867625527665386,0.07044405159609118,-0.3232027500025611,28.272009418523695
S186,1.0347197182924948,-0.04577443407672677,0.023911802190819384,0.07460936567860214,-0.06921297843866414,-0.020477707635762038,0.0740014174327843,-0.27705745346061506,17.909113357634823
S188,1.1089807377985865,-0.05981648104051118,0.05848688035748506,0.0702394571605401,-0.08212006801640837,0.014009268220995404,0.07004563570656236,0.19795137760904413,9.140145484795191
S193,0.8517831015127434,-0.18969912586113025,-0.10692801416776265,0.056614591848471195,-0.2286713825751734,-0.15081446744343024,0.056656053527812666,-2.676181038685678,15.07941288906389
S196,1.2710345838657096,-0.12051913703108341,0.16576598746785906,0.1594734739726624,-0.1238767643995472,0.12076495764497705,0.15793830877654758,0.7598950558924179,7.366364896245324
S206,1.0895917176996823,-0.09895488185989665,0.08240078460055349,0.08667396730781103,-0.10357750083380035,0.03780251855340605,0.08595637126003608,0.4363236474015727,9.855202081870198
S232,1.0147442740396349,-0.09385396831207049,-0.006096089713972078,0.09740498442700182,-0.12600985172402857,-0.05035290832307704,0.09699711697987773,-0.5202913697090841,13.988271693091198
S240,1.0284515902971312,-0.0785563282479983,0.02498148048354001,0.07271211259231969,-0.09501596531394851,-0.019401536820737003,0.07221616781065962,-0.26957547879822047,12.812265235428743
S292,0.9996354150719369,-0.14401506947434828,-0.033117644792117915,0.10219879556272901,-0.18847901387543764,-0.07734115415552184,0.10123341643773207,-0.7602880974704883,9.522264620504538
S321,0.9646245613667747,-0.11067813235735491,-0.021375137946844404,0.101146371856096,-0.14679816073504526,-0.06563342451739015,0.10019330646675674,-0.6521046656100485,35.66049534700463
S335,1.1933680331723833,-0.041948017201288046,0.12836655934136837,0.08412406504123932,-0.0522547678132671,0.08360732797262373,0.08341007551745601,0.9959537291766775,15.779046238859355
S344,1.1043620847818307,-0.038183450768941585,0.07568525328881896,0.058238135326145114,-0.04916171710091177,0.03118842323665786,0.058825677750312284,0.5340550494035362,11.42243402630704
S354,1.018655280617885,-0.10054237622989626,0.008732722800233968,0.09335212538282527,-0.12558687168101712,-0.03561881899944278,0.09263349354857937,-0.38403153760874503,18.837889009938078
S356,1.078717947668955,-0.08530020551437112,0.05773838866528648,0.10327706185426583,-0.09672438826522378,0.013249041139258498,0.10280257573073225,0.12738071144786725,20.20963055422563
S393,0.9588548010986657,-0.09550786815163437,-0.02844050981541047,0.07369831002877891,-0.13422644444846044,-0.07255100687585256,0.07423495032398104,-0.9908421622821447,16.420326006380616
S404,1.1459205824702825,-0.037609947037721914,0.08706835119381584,0.07078901857406363,-0.0450831153454081,0.04250090052533209,0.07096090781457882,0.6001703230186805,23.628165709369092
S425,1.1888351436916411,-0.1093852188176313,0.12058153182984421,0.1361594783928498,-0.11164185656190151,0.07583842430319158,0.13537637451230375,0.5581590769650778,16.292798818186256
S439,1.0758244388387446,-0.061648858203591006,0.03750423450867357,0.09915838187070464,-0.07871368837521164,-0.006871873929561822,0.09923309015163384,-0.07138729382051819,23.585115970849863
S445,0.9344646015837428,-0.11531748832206334,-0.027089390216615085,0.05974978621773516,-0.15820724243415518,-0.07134915591998577,0.058179741794497614,-1.1995402461437719,6.355283445499139
S457,1.1578797830706105,-0.03566220740379378,0.1086644873822937,0.07154509274882781,-0.041137726162166266,0.06401177198496102,0.071367359510978,0.8956813370445857,12.611682335336877
S469,1.1764019345908459,-0.06188031987052789,0.0960496466848964,0.09113625282879939,-0.06456611302299797,0.05138945235290424,0.09028615104262763,0.5647232801148042,7.31414913852033
S482,1.0343297511498513,-0.06371446799159619,0.01900119158746002,0.07144297836436045,-0.07160868661340347,-0.02538354161688021,0.07052774665943837,-0.35807145850103855,27.12047170752411
S489,1.4009981157958606,-0.2518745770926012,0.289541356347368,0.21914416516284613,-0.25741042385250057,0.2440727816073591,0.21760647873174319,1.1177960093771813,11.137232958017366
S493,1.0789248248659802,-0.1072095913307548,0.052960788192011124,0.10536530065226377,-0.11246563596941028,0.008397844411717321,0.1038208009190154,0.0795129429717659,26.97196936495983
S498,1.2036309113986081,-0.2022456822466434,0.11664407557496413,0.213396319917096,-0.21126363856799446,0.07183507607255599,0.21199729575323292,0.3376871379643053,14.673701868603342
S505,1.0997329074470767,-0.04620112937565868,0.07285261220774453,0.06446087511010136,-0.049138746226349284,0.028296944312600634,0.06388994208140256,0.4385563973404668,14.66040198106072
S514,1.0488064578397245,-0.048875375934086085,0.0460280683752701,0.061946573375290456,-0.05749147267256316,0.0016008166525647684,0.061887355050541194,0.023329544258566728,12.444148641643652
