eval_d,TB3MS
11/1/15,0.12
12/1/15,0.23
1/1/16,0.26
2/1/16,0.31
3/1/16,0.29
4/1/16,0.23
5/1/16,0.27
6/1/16,0.27
7/1/16,0.3
8/1/16,0.3
9/1/16,0.29
10/1/16,0.33
11/1/16,0.45
12/1/16,0.51
1/1/17,0.51
2/1/17,0.52
3/1/17,0.74
4/1/17,0.8
5/1/17,0.89
6/1/17,0.98
7/1/17,1.07
8/1/17,1.01
9/1/17,1.03
10/1/17,1.07
11/1/17,1.23
12/1/17,1.32
1/1/18,1.41
2/1/18,1.57
3/1/18,1.7
4/1/18,1.76
5/1/18,1.86
6/1/18,1.9
7/1/18,1.96
8/1/18,2.03
9/1/18,2.13
10/1/18,2.25
11/1/18,2.33
12/1/18,2.37
1/1/19,2.37
2/1/19,2.39
3/1/19,2.4
4/1/19,2.38
5/1/19,2.35
6/1/19,2.17
7/1/19,2.1
8/1/19,1.95
9/1/19,1.89
10/1/19,1.65
11/1/19,1.54
12/1/19,1.54
1/1/20,1.52
2/1/20,1.52
3/1/20,0.29
4/1/20,0.14
5/1/20,0.13
6/1/20,0.16
7/1/20,0.13
8/1/20,0.1
9/1/20,0.11
10/1/20,0.1
11/1/20,0.09
12/1/20,0.09
1/1/21,0.08
2/1/21,0.04
3/1/21,0.03
4/1/21,0.02
5/1/21,0.02
6/1/21,0.04
7/1/21,0.05
8/1/21,0.05
9/1/21,0.04
10/1/21,0.05
11/1/21,0.05
12/1/21,0.06
1/1/22,0.15
2/1/22,0.33
3/1/22,0.44
4/1/22,0.76
5/1/22,0.98
6/1/22,1.49
7/1/22,2.23
8/1/22,2.63
9/1/22,3.13
10/1/22,3.72
11/1/22,4.15
12/1/22,4.25
1/1/23,4.54
2/1/23,4.65
3/1/23,4.69
4/1/23,4.92
5/1/23,5.14
6/1/23,5.16
7/1/23,5.25
8/1/23,5.3
9/1/23,5.32
10/1/23,5.34
11/1/23,5.27
12/1/23,5.24
